Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 20 days,MA for 50 days
2018-03-26,52.29999923706055,52.78150177001953,50.41999816894531,52.660499572753906,52.660499572753906,53302000,,,
2018-03-27,53.150001525878906,53.24195098876953,49.84600067138672,50.255001068115234,50.255001068115234,61906000,,,
2018-03-28,49.900001525878906,51.21149826049805,49.03200149536133,50.22800064086914,50.22800064086914,67386000,,,
2018-03-29,50.58150100708008,52.150001525878906,50.14500045776367,51.589500427246094,51.589500427246094,54536000,,,
2018-04-02,51.14099884033203,51.7400016784668,49.51850128173828,50.32350158691406,50.32350158691406,53608000,,,
2018-04-03,50.695499420166016,51.04949951171875,49.70349884033203,50.670501708984375,50.670501708984375,45502000,,,
2018-04-04,49.670501708984375,51.4359016418457,49.650001525878906,51.25699996948242,51.25699996948242,49694000,,,
2018-04-05,52.06650161743164,52.13949966430664,51.00654983520508,51.390499114990234,51.390499114990234,27260000,,,
2018-04-06,51.0,51.57099914550781,50.1515007019043,50.35200119018555,50.35200119018555,34928000,,,
2018-04-09,50.84000015258789,51.97999954223633,50.70399856567383,50.772499084472656,50.772499084472656,35032000,50.949900436401364,,
2018-04-10,51.321998596191406,51.81399917602539,50.56700134277344,51.582000732421875,51.582000732421875,39490000,50.842050552368164,,
2018-04-11,51.39950180053711,51.568199157714844,50.79349899291992,50.99850082397461,50.99850082397461,29678000,50.9164005279541,,
2018-04-12,51.25199890136719,52.03450012207031,51.07175064086914,51.6254997253418,51.6254997253418,27140000,51.05615043640137,,
2018-04-13,52.04399871826172,52.32099914550781,51.14899826049805,51.4635009765625,51.4635009765625,24460000,51.04355049133301,,
2018-04-16,51.849998474121094,52.1619987487793,51.33700180053711,51.89899826049805,51.89899826049805,24224000,51.2011001586914,,
2018-04-17,52.56850051879883,53.89400100708008,52.41299819946289,53.70800018310547,53.70800018310547,46406000,51.50485000610352,,
2018-04-18,53.871498107910156,53.871498107910156,53.311248779296875,53.604000091552734,53.604000091552734,26882000,51.739550018310545,,
2018-04-19,53.470001220703125,54.708248138427734,53.409000396728516,54.3849983215332,54.3849983215332,34954000,52.03899993896484,,
2018-04-20,54.099998474121094,54.61750030517578,53.47850036621094,53.64799880981445,53.64799880981445,37794000,52.36859970092773,,
2018-04-23,53.893001556396484,54.13600158691406,53.03499984741211,53.372501373291016,53.372501373291016,46826000,52.62859992980957,51.789250183105466,
2018-04-24,52.599998474121094,52.849998474121094,50.52949905395508,50.999000549316406,50.999000549316406,95206000,52.57029991149902,51.70617523193359,
2018-04-25,51.2760009765625,51.6245002746582,50.765499114990234,51.058998107910156,51.058998107910156,47822000,52.57634963989258,51.74637508392334,
2018-04-26,51.47549819946289,52.39899826049805,50.90950012207031,52.00199890136719,52.00199890136719,41590000,52.61399955749512,51.835074996948244,
